Sno.,Movie,Year,Genre,Rating,Time,Metascore,Director
59,Avengers: Endgame, 2019,Action,8.4,181,78.0,"Anthony Russo, "
60,Inglourious Basterds, 2009,Adventure,8.4,153,69.0,Quentin Tarantino
61,Apocalypse Now, 1979,Drama,8.4,147,,Francis Ford Coppola
62,Spider-Man: Into the Spider-Verse, 2018,Animation,8.4,117,94.0,"Bob Persichetti, "
63,Coco, 2017,Animation,8.4,105,87.0,"Lee Unkrich, "
64,Idi i smotri, 1985,Drama,8.4,142,81.0,Elem Klimov
65,Oldeuboi, 2003,Action,8.4,101,78.0,Park Chan-wook
66,Aliens, 1986,Action,8.4,137,84.0,James Cameron
67,The Dark Knight Rises, 2012,Action,8.4,164,78.0,Christopher Nolan
68,Memento, 2000,Mystery,8.4,113,83.0,Christopher Nolan
69,Raiders of the Lost Ark, 1981,Action,8.4,115,86.0,Steven Spielberg
70,Avengers: Infinity War, 2018,Action,8.4,149,68.0,"Anthony Russo, "
71,Amadeus, 1984,Biography,8.4,160,87.0,Milos Forman
72,Kimi no na wa., 2016,Animation,8.4,106,81.0,Makoto Shinkai
73,3 Idiots, 2009,Comedy,8.4,170,67.0,Rajkumar Hirani
74,WALL·E, 2008,Animation,8.4,98,95.0,Andrew Stanton
75,The Lives of Others, 2006,Drama,8.4,137,89.0,Florian Henckel von Donnersmarck
76,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, 1964,Comedy,8.4,95,97.0,Stanley Kubrick
77,Capharnaüm, 2018,Drama,8.4,126,75.0,Nadine Labaki
78,Das Boot, 1981,Drama,8.4,149,86.0,Wolfgang Petersen
79,Sunset Blvd., 1950,Drama,8.4,110,94.0,Billy Wilder
80,The Great Dictator, 1940,Comedy,8.4,125,90.0,Charles Chaplin
81,Paths of Glory, 1957,Drama,8.4,88,76.0,Stanley Kubrick
82,Witness for the Prosecution, 1957,Crime,8.4,116,,Billy Wilder
83,Tengoku to jigoku, 1963,Crime,8.4,143,90.0,Akira Kurosawa
84,Top Gun: Maverick, 2022,Action,8.3,130,78.0,Joseph Kosinski
85,Heat, 1995,Action,8.3,170,76.0,Michael Mann
86,American Beauty, 1999,Drama,8.3,122,84.0,Sam Mendes
87,Good Will Hunting, 1997,Drama,8.3,126,70.0,Gus Van Sant
88,Scarface, 1983,Crime,8.3,170,65.0,Brian De Palma
89,Requiem for a Dream, 2000,Drama,8.3,102,71.0,Darren Aronofsky
90,A Clockwork Orange, 1971,Crime,8.3,136,77.0,Stanley Kubrick
91,Once Upon a Time in America, 1984,Crime,8.3,229,75.0,Sergio Leone
92,Eternal Sunshine of the Spotless Mind, 2004,Drama,8.3,108,89.0,Michel Gondry
93,2001: A Space Odyssey, 1968,Adventure,8.3,149,84.0,Stanley Kubrick
94,Braveheart, 1995,Biography,8.3,178,68.0,Mel Gibson
95,Jagten, 2012,Drama,8.3,115,77.0,Thomas Vinterberg
96,Reservoir Dogs, 1992,Crime,8.3,99,81.0,Quentin Tarantino
97,Toy Story, 1995,Animation,8.3,81,96.0,John Lasseter
98,Full Metal Jacket, 1987,Drama,8.3,116,78.0,Stanley Kubrick
99,Hamilton, 2020,Biography,8.3,160,88.0,Thomas Kail
100,Incendies, 2010,Drama,8.3,131,80.0,Denis Villeneuve
101,Up, 2009,Animation,8.3,96,88.0,"Pete Docter, "
102,Lawrence of Arabia, 1962,Adventure,8.3,218,100.0,David Lean
103,Star Wars: Episode VI - Return of the Jedi, 1983,Action,8.3,131,58.0,Richard Marquand
104,Le fabuleux destin d'Amélie Poulain, 2001,Comedy,8.3,122,69.0,Jean-Pierre Jeunet
105,Vertigo, 1958,Mystery,8.3,128,100.0,Alfred Hitchcock
106,Mononoke-hime, 1997,Animation,8.3,134,76.0,Hayao Miyazaki
107,Toy Story 3, 2010,Animation,8.3,103,92.0,Lee Unkrich
108,Citizen Kane, 1941,Drama,8.3,119,100.0,Orson Welles
109,North by Northwest, 1959,Action,8.3,136,98.0,Alfred Hitchcock
